fecha,opid,valor,monto_ceil,egreso,descripcion
2026-01-08,140587781693,-750.00,750,1,Pago PedidosYa Propina Reserva por gastos Juicio
2026-01-08,140587465179,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-08,140587465179,75343.87,75344,0,Dinero retirado Juicio injusto Transferencia enviada Sanes
2026-01-08,140604129459,-156000.00,156000,1,Transferencia enviada Sanes Maria Sole
2026-01-08,141265305150,46300.00,46300,0,Transferencia recibida Gabriela Reggio Transferencia recibida
2026-01-08,140608145117,46300.00,46300,0,Gabriela Reggio Transferencia recibida Florencia Ivana Risi Transferencia recibida Maria
2026-01-08,140608596441,46300.00,46300,0,Florencia Ivana Risi Transferencia recibida Maria Soledad Martinez Transferencia enviada Sanes
2026-01-08,140607801871,-255061.00,255061,1,Soledad Martinez Transferencia enviada Sanes Maria Sole
2026-01-09,1738286951447,263.20,264,0,Rendimientos
2026-01-09,140633249057,-14700.00,14700,1,Pago Tuenti recargas dcp Reserva por gastos Juicio
2026-01-09,140633442337,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-09,141295791948,-5490.00,5490,1,Pago PedidosYa Plus Reserva por gastos Juicio
2026-01-09,141295101188,-5000.00,5000,1,Reserva por gastos Juicio injusto Transferencia recibida Maria
2026-01-09,140642513671,46300.00,46300,0,injusto Transferencia recibida Maria Lujan Paz Transferencia recibida
2026-01-09,141302453308,46300.00,46300,0,Lujan Paz Transferencia recibida Antonela Beatriz Guidobono
2026-01-09,140605250413,2597842.49,2597843,0,Venta de dólares Transferencia enviada
2026-01-09,140660972767,-376563.08,376564,1,Transferencia enviada Consorcio De Copropi Reserva por gastos Juicio
2026-01-09,140661842601,-5000.00,5000,1,Consorcio De Copropi Reserva por gastos Juicio injusto
2026-01-09,140661909585,-2000000.00,2000000,1,Transferencia enviada Sanes Maria Sole Transferencia recibida Maria
2026-01-09,141324207090,900000.00,900000,0,Maria Sole Transferencia recibida Maria Soledad Sanes
2026-01-09,141323990758,-500000.00,500000,1,Dinero reservado Susi
2026-01-09,140678118677,-164709.00,164709,1,Pago Tarjeta de crédito Transferencia enviada Catore
2026-01-09,141347021650,-44000.00,44000,1,Transferencia enviada Catore Srl Reserva por gastos Juicio
2026-01-09,140688712853,-5000.00,5000,1,Srl Reserva por gastos Juicio injusto Transferencia enviada
2026-01-10,140813916535,-116500.00,116500,1,injusto Transferencia enviada Farmacia Maure Srl Reserva por gastos Juicio
2026-01-10,140812815461,-5000.00,5000,1,Farmacia Maure Srl Reserva por gastos Juicio injusto
2026-01-10,141481160598,-77747.30,77748,1,Pago Merpago*compraenkalbb Reserva por gastos Juicio
2026-01-10,141480061596,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-10,140848450921,-34920.01,34921,1,Pago Personal flow
2026-01-10,141519702230,-54202.00,54202,1,Pago PedidosYa Reserva por gastos Juicio
2026-01-10,140859101327,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-10,140865415709,-1000.00,1000,1,Pago PedidosYa Propina
2026-01-10,140865832137,-5000.00,5000,1,Reserva por gastos Juicio injusto Transferencia enviada Susana
2026-01-11,140915725199,-16800.00,16800,1,injusto Transferencia enviada Susana Carmen Ortiz Transferencia enviada Susana
2026-01-11,141575678966,-149502.00,149502,1,Carmen Ortiz Transferencia enviada Susana Carmen Ortiz Reserva por gastos Juicio
2026-01-11,141575187642,-5000.00,5000,1,Carmen Ortiz Reserva por gastos Juicio injusto Reserva por gastos Juicio
2026-01-11,140915487563,-5000.00,5000,1,injusto Reserva por gastos Juicio injusto
2026-01-11,141619422012,-22100.00,22100,1,Pago HAVANNA Reserva por gastos Juicio
2026-01-11,141619672200,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-12,1738350967124,9.82,10,0,Rendimientos
2026-01-12,141005588865,55204.30,55205,0,Dinero retirado Juicio injusto
2026-01-12,141057022307,-34036.97,34037,1,Pago de servicio ARCA Transferencia recibida Maria
2026-01-12,141722464386,3095944.93,3095945,0,Transferencia recibida Maria Soledad Sanes Transferencia recibida Maria
2026-01-12,141722471160,751.07,752,0,Soledad Sanes Transferencia recibida Maria Soledad Sanes
2026-01-12,141722572330,-1000000.00,1000000,1,Dinero reservado AVA
2026-01-12,141723904470,-200000.00,200000,1,Pago Tarjeta de crédito
2026-01-13,1738420356218,1286.63,1287,0,Rendimientos Transferencia recibida
2026-01-13,141174634435,2700000.00,2700000,0,FUNDACION UNIVERSIDAD DE PALERMO
2026-01-13,141178734393,-2700000.00,2700000,1,Dinero reservado Palermo Pago COPETIN CATERING S.R.
2026-01-13,141845191310,-2940.00,2940,1,Pago COPETIN CATERING S.R. L.
2026-01-13,141212128681,-1000000.00,1000000,1,Dinero reservado Juicio injusto
2026-01-13,141874113208,300000.00,300000,0,Dinero retirado Juicio injusto
2026-01-13,141212450379,100000.00,100000,0,Dinero retirado Juicio injusto
2026-01-13,141212660111,-1282374.48,1282375,1,Pago Tarjeta de crédito
2026-01-13,141890655612,44100.00,44100,0,Dinero retirado Susi Transferencia enviada El Perro
2026-01-13,141891685716,-44100.00,44100,1,Transferencia enviada El Perro Verde Veterinaria Reserva por gastos Juicio
2026-01-13,141891528778,-5000.00,5000,1,Verde Veterinaria Reserva por gastos Juicio injusto Devolución de dinero
2026-01-13,141519702230,2747.35,2748,0,injusto Devolución de dinero PedidosYa
2026-01-14,1738477392283,27.32,28,0,Rendimientos
2026-01-15,1738540883613,26.01,27,0,Rendimientos
2026-01-15,142198324698,-11000.00,11000,1,Transferencia enviada Marcelo Alejandro Kattan Reserva por gastos Juicio
2026-01-15,141531377977,-5000.00,5000,1,Marcelo Alejandro Kattan Reserva por gastos Juicio injusto
2026-01-16,1738598125009,13.40,14,0,Rendimientos
2026-01-17,141762560021,-13464.75,13465,1,Pago DIA Online Devolución de dinero DIA
2026-01-17,141762560021,7180.00,7180,0,Devolución de dinero DIA Online Pago con QR Victoria
2026-01-17,141794118739,-4100.00,4100,1,Online Pago con QR Victoria Estefania Ibanez Reserva por gastos Juicio
2026-01-17,142461323370,-5000.00,5000,1,Estefania Ibanez Reserva por gastos Juicio injusto
2026-01-17,142461151562,-500.00,500,1,Reserva por gastos AVA
2026-01-17,142486644648,30000.00,30000,0,Dinero retirado Juicio injusto Transferencia enviada
2026-01-17,142485698056,-22000.00,22000,1,Transferencia enviada Veronica Alejandra Mendez
2026-01-18,141569732147,459143.04,459144,0,Dinero retirado Susi Transferencia enviada Susana
2026-01-18,141860074853,-15400.00,15400,1,Transferencia enviada Susana Carmen Ortiz Transferencia enviada Susana
2026-01-18,141860034053,-149502.00,149502,1,Carmen Ortiz Transferencia enviada Susana Carmen Ortiz
2026-01-18,141860254275,-304658.98,304659,1,Dinero reservado Susi
2026-01-18,142486644648,586389.79,586390,0,Dinero retirado Juicio injusto
2026-01-18,142554441074,-4088.70,4089,1,Pago Carrefour
2026-01-18,141907232423,-107074.65,107075,1,Pago de servicio ARCA
2026-01-19,1738658357215,1108.96,1109,0,Rendimientos Pago COPETIN CATERING S.R.
2026-01-19,142666281116,-3585.00,3585,1,Pago COPETIN CATERING S.R. L.
2026-01-19,142666612486,-4123.00,4123,1,Pago Dlo*didi Reserva por gastos Juicio
2026-01-19,142665350086,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-19,142665715780,-500.00,500,1,Reserva por gastos AVA
2026-01-19,142669288948,-82.65,83,1,Pago Dlo*didi Reserva por gastos Juicio
2026-01-19,141999213891,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-19,142668443644,-500.00,500,1,Reserva por gastos AVA
2026-01-19,142011819253,-5227.00,5227,1,Pago Dlo*didi Reserva por gastos Juicio
2026-01-19,142679971456,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-19,142011334971,-500.00,500,1,Reserva por gastos AVA
2026-01-19,142718357990,800000.00,800000,0,Dinero retirado AVA
2026-01-19,142050018553,-800000.00,800000,1,Transferencia enviada Sanes Maria Sole
2026-01-19,142718357990,207304.18,207305,0,Dinero retirado AVA
2026-01-19,142720505710,-466849.91,466850,1,Pago Tarjeta de crédito
2026-01-20,1738724221732,188.61,189,0,Rendimientos
2026-01-20,142772078256,-3633.00,3633,1,Pago Dlo*didi Reserva por gastos Juicio
2026-01-20,142102214797,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-20,142771655682,-500.00,500,1,Reserva por gastos AVA Pago COPETIN CATERING S.R.
2026-01-20,142776487236,-3585.00,3585,1,Pago COPETIN CATERING S.R. L.
2026-01-20,142149419979,-5170.00,5170,1,Pago Dlo*didi Reserva por gastos Juicio
2026-01-20,142818619884,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-20,142149496449,-500.00,500,1,Reserva por gastos AVA Transferencia enviada Sanes
2026-01-20,142150352585,-80000.00,80000,1,Transferencia enviada Sanes Maria Sole Transferencia enviada Yenny
2026-01-20,142858584838,-6605.00,6605,1,Maria Sole Transferencia enviada Yenny Paola Calisaya Cquispe Reserva por gastos Juicio
2026-01-20,142858432718,-5000.00,5000,1,Paola Calisaya Cquispe Reserva por gastos Juicio injusto
2026-01-20,142187924783,-500.00,500,1,Reserva por gastos AVA
2026-01-21,1738785554797,52.43,53,0,Rendimientos
2026-01-22,1738844980852,54.05,55,0,Rendimientos
2026-01-22,143050287020,-3876.00,3876,1,Pago Dlo*didi
2026-01-22,142378666725,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-01-22,142378283709,-5000.00,5000,1,Reserva por gastos Juicio injusto Pago COPETIN CATERING S.R.
2026-01-22,142395286029,-11950.00,11950,1,injusto Pago COPETIN CATERING S.R. L.
2026-01-22,143096533578,-4820.00,4820,1,Pago Dlocal*didi
2026-01-22,142424622545,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-01-22,142424484697,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-22,143135141496,-2100.00,2100,1,Pago Open 25 Reserva por gastos Juicio
2026-01-22,142463142405,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-22,143135098634,-500.00,500,1,Reserva por gastos AVA Transferencia enviada
2026-01-22,143142191734,-17000.00,17000,1,Transferencia enviada Mercurio Furchi Reserva por gastos Juicio
2026-01-22,142469547211,-5000.00,5000,1,Mercurio Furchi Reserva por gastos Juicio injusto
2026-01-22,142469533129,-500.00,500,1,Reserva por gastos AVA
2026-01-23,1738904669075,7.83,8,0,Rendimientos Débito por deuda Impuesto a
2026-01-23,2778883674,-10335.94,10336,1,Débito por deuda Impuesto a los IIBB de CABA
2026-01-24,142490864357,306361.75,306362,0,Dinero retirado Susi Débito por deuda Impuesto a
2026-01-24,2782696696,-16330.07,16331,1,Débito por deuda Impuesto a los IIBB de CABA Transferencia enviada El Perro
2026-01-24,142668114637,-16200.00,16200,1,los IIBB de CABA Transferencia enviada El Perro Verde Veterinaria
2026-01-24,143341452880,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-01-24,143341408876,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-24,142668639575,-10500.00,10500,1,Pago BEE Coffee Reserva por gastos Juicio
2026-01-24,142668171261,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-24,142669028209,-500.00,500,1,Reserva por gastos AVA Transferencia enviada Genco
2026-01-24,142689221577,-58000.00,58000,1,Transferencia enviada Genco Alimentos Reserva por gastos Juicio
2026-01-24,143362676760,-5000.00,5000,1,Alimentos Reserva por gastos Juicio injusto
2026-01-24,142689600113,-500.00,500,1,Reserva por gastos AVA
2026-01-24,143368317244,-37766.67,37767,1,Pago Oporto Almacen Reserva por gastos Juicio
2026-01-24,142694628805,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-24,142694922395,-500.00,500,1,Reserva por gastos AVA
2026-01-25,142694922395,5504.87,5505,0,Dinero retirado AVA
2026-01-25,142694628805,70097.46,70098,0,Dinero retirado Juicio injusto Transferencia enviada Susana
2026-01-25,142803022267,-6700.00,6700,1,Transferencia enviada Susana Carmen Ortiz Transferencia enviada Susana
2026-01-25,143477217796,-158895.00,158895,1,Carmen Ortiz Transferencia enviada Susana Carmen Ortiz Reserva por gastos Juicio
2026-01-25,143476811048,-5000.00,5000,1,Carmen Ortiz Reserva por gastos Juicio injusto
2026-01-25,142802654973,-500.00,500,1,Reserva por gastos AVA
2026-01-25,142802886943,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-01-25,143476823370,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-26,1738964556613,104.15,105,0,Rendimientos
2026-01-27,1739033481641,30.01,31,0,Rendimientos
2026-01-27,143008998015,-3892.00,3892,1,Pago Dlo*didi Reserva por gastos Juicio
2026-01-27,143009072647,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-27,143684524424,-500.00,500,1,Reserva por gastos AVA
2026-01-27,143009072647,15030.09,15031,0,Dinero retirado Juicio injusto
2026-01-27,143684524424,1503.01,1504,0,Dinero retirado AVA
2026-01-27,143660212414,2729501.25,2729502,0,Dinero retirado Palermo
2026-01-27,143754483220,-2629000.00,2629000,1,Dinero reservado Palermo
2026-01-27,143755334124,-35403.25,35404,1,Pago Dlo*pedidosya market - Reserva por gastos Juicio
2026-01-27,143078717583,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-27,143754769126,-500.00,500,1,Reserva por gastos AVA
2026-01-27,143758494900,-750.00,750,1,Pago Dlo*pedidosya propina
2026-01-27,143757315900,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-01-27,143757699566,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-28,1739093859742,64.52,65,0,Rendimientos
2026-01-28,143873443318,100000.00,100000,0,Dinero retirado Palermo Transferencia enviada El Perro
2026-01-28,143197757931,-145400.00,145400,1,Transferencia enviada El Perro Verde Veterinaria Transferencia enviada Luna
2026-01-28,143874340674,-45000.00,45000,1,Verde Veterinaria Transferencia enviada Luna Maria Laur Reserva por gastos Juicio
2026-01-28,143874093154,-5000.00,5000,1,Maria Laur Reserva por gastos Juicio injusto
2026-01-28,143874316896,-500.00,500,1,Reserva por gastos AVA
2026-01-28,143873925442,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-28,143873465914,-500.00,500,1,Reserva por gastos AVA
2026-01-29,1739156326201,2.33,3,0,Rendimientos
2026-01-29,143272717481,100000.00,100000,0,Dinero retirado Palermo
2026-01-29,143273276115,-6282.00,6282,1,Pago Dlo*didi Reserva por gastos Juicio
2026-01-29,143273256651,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-29,143950032824,-500.00,500,1,Reserva por gastos AVA Transferencia recibida
2026-01-29,143950465186,1000000.00,1000000,0,"Transferencia recibida ROBERTO,SANES"
2026-01-29,143281342011,-300000.00,300000,1,Dinero reservado Palermo Pago COPETIN CATERING S.R.
2026-01-29,143969361530,-9800.00,9800,1,Pago COPETIN CATERING S.R. L.
2026-01-29,144002930266,-2150.00,2150,1,Pago FEED
2026-01-29,143325579931,-2350.00,2350,1,Pago FEED
2026-01-29,143325579931,2350.00,2350,0,Pago cancelado FEED Reserva por gastos Juicio
2026-01-29,143324391999,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-29,144001796050,-500.00,500,1,Reserva por gastos AVA
2026-01-29,144002001982,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-01-29,143325318827,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-29,143356653551,-7260.00,7260,1,Pago EBANX S.A.
2026-01-30,1739209580549,481.95,482,0,Rendimientos
2026-01-30,143381603269,-47740.00,47740,1,Pago MERCEDES SRL Transferencia enviada
2026-01-30,144059496940,-4600.00,4600,1,Transferencia enviada Gabriela Reggio Reserva por gastos Juicio
2026-01-30,143381690509,-5000.00,5000,1,Gabriela Reggio Reserva por gastos Juicio injusto
2026-01-30,144059254974,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-01-30,144059592468,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-30,144058959510,-500.00,500,1,Reserva por gastos AVA
2026-01-30,144113069206,-15000.00,15000,1,Compra de dólares Devolución de dinero Compra
2026-01-30,144113069206,696.98,697,0,Devolución de dinero Compra de dólares
2026-01-30,144130368724,4240907.40,4240908,0,Venta de dólares Transferencia enviada Sanes
2026-01-30,143451267603,-4200000.00,4200000,1,Transferencia enviada Sanes Maria Sole
2026-01-30,144145852888,-2565.00,2565,1,Pago Dlo*didi
2026-01-30,143467224717,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-30,144145111358,-500.00,500,1,Reserva por gastos AVA
2026-01-30,143477454875,-2745.00,2745,1,Pago Dlo*didi Reserva por gastos Juicio
2026-01-30,144156108382,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-01-30,144155500968,-500.00,500,1,Reserva por gastos AVA
2026-01-31,143536071863,-830.19,831,1,Pago Shell
2026-01-31,144215467090,-985.00,985,1,Pago Shell
2026-01-31,143574714963,-220000.00,220000,1,Pago Tarjeta de crédito
2026-02-01,143693856285,-45710.92,45711,1,Pago Apple
2026-02-01,144372651500,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-02-01,143693239203,-5000.00,5000,1,Reserva por gastos Juicio injusto Transferencia enviada Susana
2026-02-01,144380103796,-17300.00,17300,1,injusto Transferencia enviada Susana Carmen Ortiz Transferencia enviada Susana
2026-02-01,144380229442,-149502.00,149502,1,Carmen Ortiz Transferencia enviada Susana Carmen Ortiz Reserva por gastos Juicio
2026-02-01,144379980790,-5000.00,5000,1,Carmen Ortiz Reserva por gastos Juicio injusto
2026-02-01,143700308971,-500.00,500,1,Reserva por gastos AVA
2026-02-01,144379809106,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-01,144379968968,-500.00,500,1,Reserva por gastos AVA
2026-02-01,143732113847,-118132.00,118132,1,Pago Dlo*pedidosya market Reserva por gastos Juicio
2026-02-01,143732238415,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-01,143732396189,-500.00,500,1,Reserva por gastos AVA
2026-02-01,144413173142,-1499.00,1499,1,Pago PedidosYa Reserva por gastos Juicio
2026-02-01,144413018758,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-01,143732617815,-500.00,500,1,Reserva por gastos AVA
2026-02-01,144416255076,-750.00,750,1,Pago Dlo*pedidosya propina Reserva por gastos Juicio
2026-02-01,143736118907,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-01,144415463386,-500.00,500,1,Reserva por gastos AVA Transferencia enviada Sanes
2026-02-01,144419034432,-100000.00,100000,1,Transferencia enviada Sanes Maria Sole
2026-02-01,143756986355,-4421.00,4421,1,Pago Dlo*didi
2026-02-01,144436708632,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-02-01,144435729846,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-01,143761021857,-3570.00,3570,1,Pago Dlo*didi Reserva por gastos Juicio
2026-02-01,144439641838,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-01,143760886633,-500.00,500,1,Reserva por gastos AVA
2026-02-02,1739271884119,6.20,7,0,Rendimientos Transferencia recibida SANES
2026-02-02,143788843125,3500000.00,3500000,0,Transferencia recibida SANES MARIA SOLE
2026-02-02,143789242101,-300000.00,300000,1,Dinero reservado Susi
2026-02-02,144530775486,-5552.48,5553,1,Pago Apple Reserva por gastos Juicio
2026-02-02,143848665975,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-02,143848847849,-500.00,500,1,Reserva por gastos AVA
2026-02-02,144544131226,2680133.00,2680133,0,Dinero retirado Palermo
2026-02-02,144544922846,-2670200.00,2670200,1,Dinero reservado AVA
2026-02-02,144544818954,80.00,80,0,Dinero retirado AVA Compra de Pollera Falda
2026-02-02,143869721865,-19652.00,19652,1,Larga Eco Cuero Larga Con Cierre Invisible Mercado Libre
2026-02-02,143880696573,-4446.70,4447,1,Pago Cabify
2026-02-02,144561927160,-4970.17,4971,1,Pago Cabify
2026-02-02,144560339716,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-02,143880796347,-500.00,500,1,Reserva por gastos AVA
2026-02-02,144560599764,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-02-02,144561135418,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-03,1739328768638,2354.62,2355,0,Rendimientos
2026-02-03,143932267607,-4760.00,4760,1,Pago Dlocal*didi Reserva por gastos Juicio
2026-02-03,144613504890,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-03,144613289358,-500.00,500,1,Reserva por gastos AVA Pago COPETIN CATERING S.R.
2026-02-03,143956599527,-3585.00,3585,1,Pago COPETIN CATERING S.R. L.
2026-02-03,143972762617,-645.00,645,1,Pago FEED
2026-02-03,144654748370,-500.00,500,1,Reserva por gastos AVA Reserva por gastos Juicio
2026-02-03,143971837723,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-03,144698796476,-3000000.00,3000000,1,Dinero reservado AVA
2026-02-04,1739392543419,106.60,107,0,Rendimientos
2026-02-04,144729671702,5688355.11,5688356,0,Dinero retirado AVA
2026-02-04,144770346988,-5360265.00,5360265,1,Transferencia enviada Fideicomiso Ava Palpa Reserva por gastos Juicio
2026-02-04,144087653411,-5000.00,5000,1,Fideicomiso Ava Palpa Reserva por gastos Juicio injusto
2026-02-04,144770135728,-500.00,500,1,Reserva por gastos AVA
2026-02-05,1739453487679,319.57,320,0,Rendimientos
2026-02-05,144904201578,-4600.00,4600,1,Pago Dlocal*didi Reserva por gastos Juicio
2026-02-05,144904242772,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-05,144220515577,-500.00,500,1,Reserva por gastos AVA Pago COPETIN CATERING S.R.
2026-02-05,144250023363,-2940.00,2940,1,Pago COPETIN CATERING S.R. L.
2026-02-05,144251320329,-645.00,645,1,Pago FEED Reserva por gastos Juicio
2026-02-05,144251154713,-5000.00,5000,1,Reserva por gastos Juicio injusto
2026-02-05,144250117801,-500.00,500,1,Reserva por gastos AVA
2026-02-06,1739513983623,298.89,299,0,Rendimientos
2026-02-06,145080440072,1127565.39,1127566,0,Venta de dólares Pago de cuota Créditos de
2026-02-06,144396236619,-819945.24,819946,1,Pago de cuota Créditos de Mercado Pago
2026-02-06,145081341212,-400000.00,400000,1,Pago Tarjeta de crédito
2026-02-06,145081314050,-37095.95,37096,1,Pago de servicio ARCA Transferencia recibida MarIa
2026-02-06,144438005277,1411673.05,1411674,0,Transferencia recibida MarIa Sanes Transferencia enviada
2026-02-06,145121703764,-395550.08,395551,1,Sanes Transferencia enviada Consorcio De Copropi Transferencia enviada
2026-02-06,144436675825,-218800.00,218800,1,Consorcio De Copropi Transferencia enviada Consorcio De Propiet Reserva por gastos Juicio
2026-02-06,144437677139,-5000.00,5000,1,Consorcio De Propiet Reserva por gastos Juicio injusto
2026-02-06,144437932787,-500.00,500,1,Reserva por gastos AVA
